Timesteps,EpisodeReward,PolicyLoss,ValueLoss,EntropyLoss,KL_Divergence
15392,-0.7225,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15476,-0.43,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15560,-0.37,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15716,-0.7475,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15832,-0.445,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15940,-0.495,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
16020,-0.3875,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
16132,-0.54,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
16276,-0.755,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
16392,-0.5025,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
16524,-0.81,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
16668,-0.6775,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
16764,-0.73,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
16880,-0.7,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17004,-0.72,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17084,-0.3075,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17196,-0.8025,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17296,-0.615,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17388,-0.82,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17544,-0.725,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17648,-0.775,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17768,-0.795,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17836,-0.4275,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
17964,-0.725,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18044,-0.575,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18132,-0.345,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18284,-0.64,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18428,-0.5825,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18560,-0.4475,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18664,-0.5075,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18680,-0.0225,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18796,-0.3975,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
18936,-0.7625,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
19116,-0.7225,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
19204,-0.6475,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
19340,-0.71,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
19520,-0.785,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
19680,-0.4675,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
19820,-0.4675,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
19924,-0.3025,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20032,-0.58,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20120,-0.42,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20268,-0.4925,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20412,-0.8475,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20560,-0.8375,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20688,-0.8125,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20828,-0.67,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
20964,-0.69,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21132,-0.4925,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21228,-0.525,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21332,-0.355,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21452,-0.56,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21560,-0.845,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21572,-0.02,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21660,-0.4675,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21760,-0.4275,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21848,-0.4575,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
21984,-0.8475,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
22184,-0.7675,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
22412,-0.705,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
22540,-0.7425,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
22668,-0.73,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
22788,-0.6925,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
22956,-0.5325,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
22960,-0.005,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23124,-0.8275,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23268,-0.8175,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23388,-0.73,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23496,-0.64,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23604,-0.8725,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23724,-0.6975,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23840,-0.4275,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
23952,-0.7575,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
24064,-0.4025,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
24248,-0.7725,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
24420,-0.6775,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
24424,-0.02,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
24568,-0.62,0.0,0.005776401499861095,-4.216708389110863,0.11543206125497818
24672,-0.8,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
24828,-0.3325,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
24960,-0.6425,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25212,-0.75,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
